PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
5.000000,5.010000,0.050000,0.120000,0.120000,109.370003,0.490000,-3.340000,266.649994,45.750000,54610.148438,35.92,84.83,7.142857,PM2.5,22542
4.610000,4.620000,0.040000,0.120000,0.120000,110.430000,0.270000,-2.570000,266.899994,44.490002,54732.910156,35.95,85.0,6.585714,PM2.5,22543
4.660000,4.680000,0.040000,0.120000,0.120000,109.599998,0.220000,-2.010000,266.859985,44.840000,54789.000000,35.97,85.16,6.657143,PM2.5,22544
4.700000,4.720000,0.040000,0.130000,0.120000,108.570000,0.360000,-1.540000,267.019989,42.959999,55009.730469,36.0,85.33,6.714285,PM2.5,22545
4.800000,4.820000,0.040000,0.130000,0.120000,107.309998,0.770000,-1.780000,267.179993,38.720001,55102.371094,36.02,85.49,6.857143,PM2.5,22546
4.690000,4.700000,0.040000,0.130000,0.120000,106.849998,0.970000,-1.990000,266.980011,35.520000,54886.738281,36.05,85.66,6.700000,PM2.5,22547
4.500000,4.510000,0.030000,0.130000,0.120000,106.870003,0.990000,-2.430000,266.920013,33.000000,54788.320312,36.07,85.82,6.428571,PM2.5,22548
4.150000,4.160000,0.030000,0.120000,0.120000,107.050003,0.790000,-2.550000,267.179993,32.230000,54919.449219,36.1,85.99,5.928572,PM2.5,22549
4.170000,4.180000,0.030000,0.110000,0.120000,108.629997,-0.050000,-2.220000,267.160004,36.770000,54763.250000,36.12,86.15,5.957143,PM2.5,22550
3.680000,3.690000,0.030000,0.100000,0.120000,93.080002,0.630000,-2.520000,265.549988,21.860001,54706.828125,36.46,88.65,5.257143,PM2.5,22565
3.580000,3.600000,0.040000,0.100000,0.120000,91.779999,0.810000,-2.500000,266.329987,21.480000,55439.960938,36.48,88.81,5.114285,PM2.5,22566
3.610000,3.630000,0.040000,0.110000,0.120000,90.830002,0.910000,-2.350000,267.350006,19.740000,56433.238281,36.5,88.98,5.157143,PM2.5,22567
3.780000,3.800000,0.040000,0.110000,0.120000,90.769997,0.260000,-2.160000,267.399994,17.860001,56809.230469,36.52,89.15,5.400000,PM2.5,22568
3.680000,3.700000,0.040000,0.110000,0.120000,89.040001,-0.130000,-3.330000,266.750000,15.390000,56282.570312,36.54,89.31,5.257143,PM2.5,22569
3.760000,3.770000,0.040000,0.110000,0.120000,89.250000,0.010000,-3.200000,265.850006,18.049999,55352.210938,36.56,89.48,5.371428,PM2.5,22570
3.850000,3.870000,0.040000,0.110000,0.120000,89.150002,0.590000,-2.650000,265.540009,18.930000,55195.570312,36.58,89.65,5.500000,PM2.5,22571
3.960000,3.980000,0.040000,0.110000,0.120000,88.730003,1.310000,-2.320000,266.369995,19.320000,55970.171875,36.6,89.82,5.657143,PM2.5,22572
4.170000,4.190000,0.040000,0.120000,0.120000,89.589996,1.020000,-1.880000,267.070007,20.870001,56685.921875,36.62,89.98,5.957143,PM2.5,22573
4.320000,4.330000,0.040000,0.130000,0.120000,95.400002,0.400000,-0.620000,266.910004,23.370001,57024.398438,36.63,90.15,6.171429,PM2.5,22574
4.470000,4.480000,0.040000,0.130000,0.120000,96.160004,0.810000,0.050000,266.760010,24.750000,57269.570312,36.65,90.32,6.385714,PM2.5,22575
4.350000,4.370000,0.040000,0.130000,0.120000,96.290001,1.070000,0.930000,266.070007,26.760000,57282.718750,36.67,90.49,6.214285,PM2.5,22576
4.530000,4.550000,0.040000,0.140000,0.120000,95.800003,1.200000,1.840000,264.489990,29.600000,56433.539062,36.69,90.65,6.471429,PM2.5,22577
1.660000,1.730000,0.190000,0.990000,0.120000,92.910004,0.960000,0.860000,260.070007,82.489998,53481.820312,34.86,78.29,3.000000,CO,22756
1.620000,1.690000,0.190000,0.870000,0.120000,92.500000,4.950000,0.620000,257.950012,89.160004,51319.250000,34.9,78.45,3.000000,CO,22757
1.580000,1.640000,0.180000,0.810000,0.120000,92.489998,6.580000,0.350000,258.690002,84.089996,51872.128906,34.93,78.61,3.000000,CO,22758
1.490000,1.560000,0.180000,0.710000,0.130000,93.000000,5.680000,-0.330000,258.790009,81.779999,52020.050781,34.97,78.77,3.250000,CO,22759
1.380000,1.440000,0.170000,0.610000,0.130000,94.120003,7.040000,-1.170000,258.600006,80.250000,51155.968750,35.0,78.93,3.250000,CO,22760
1.240000,1.300000,0.160000,0.500000,0.130000,96.410004,8.800000,-0.750000,260.929993,61.740002,51934.601562,35.03,79.09,3.250000,CO,22761
1.160000,1.210000,0.160000,0.460000,0.130000,96.809998,7.640000,0.120000,263.269989,53.619999,53455.800781,35.06,79.25,3.250000,CO,22762
1.150000,1.210000,0.160000,0.470000,0.130000,96.059998,6.260000,0.410000,264.170013,52.770000,54231.531250,35.1,79.41,3.250000,CO,22763
1.180000,1.240000,0.170000,0.580000,0.130000,94.449997,5.120000,-0.280000,265.410004,53.070000,55217.359375,35.13,79.57,3.250000,CO,22764
1.150000,1.210000,0.160000,0.550000,0.130000,94.250000,5.070000,-1.560000,265.970001,50.040001,55968.371094,35.16,79.74,3.250000,CO,22765
0.900000,1.240000,0.140000,0.300000,0.130000,101.970001,5.620000,-3.490000,267.480011,60.590000,56045.640625,35.19,79.9,3.250000,CO,22766
0.930000,1.090000,0.140000,0.310000,0.130000,95.970001,4.690000,-3.610000,265.850006,60.470001,55452.480469,35.22,80.06,3.250000,CO,22767
0.920000,1.010000,0.130000,0.270000,0.130000,96.489998,3.980000,-2.800000,264.649994,58.299999,54615.261719,35.26,80.22,3.250000,CO,22768
0.920000,0.980000,0.120000,0.180000,0.130000,94.930000,7.130000,-2.260000,255.809998,80.370003,47082.191406,35.35,80.71,3.250000,CO,22771
1.140000,1.190000,0.120000,0.170000,0.130000,93.800003,7.940000,-1.910000,256.079987,72.110001,47005.660156,35.38,80.87,3.250000,CO,22772
2.130000,2.180000,0.120000,0.170000,0.130000,91.050003,6.840000,-2.330000,257.309998,66.559998,47701.589844,35.41,81.03,3.250000,CO,22773
3.860000,3.910000,0.130000,0.180000,0.130000,87.680000,5.240000,-2.950000,258.480011,69.870003,48787.531250,35.44,81.2,5.514286,PM2.5,22774
5.840000,5.890000,0.130000,0.190000,0.130000,86.209999,4.300000,-3.030000,259.869995,68.529999,50032.351562,35.47,81.36,8.342857,PM2.5,22775
7.250000,7.310000,0.130000,0.200000,0.130000,87.739998,3.280000,-3.130000,261.459991,70.430000,51484.390625,35.5,81.52,10.357142,PM2.5,22776
7.830000,7.880000,0.120000,0.210000,0.130000,87.879997,2.470000,-3.560000,262.109985,73.739998,52101.019531,35.53,81.68,11.185714,PM2.5,22777
7.630000,7.680000,0.120000,0.200000,0.130000,88.809998,2.070000,-3.320000,262.070007,75.919998,52107.449219,35.56,81.85,10.900001,PM2.5,22778
7.550000,7.590000,0.110000,0.190000,0.130000,91.989998,1.610000,-3.220000,262.989990,71.300003,52772.210938,35.59,82.01,10.785714,PM2.5,22779
8.040000,8.070000,0.110000,0.170000,0.130000,91.709999,2.230000,-4.090000,261.209991,77.190002,51406.378906,35.62,82.17,11.485714,PM2.5,22780
8.310000,8.340000,0.090000,0.160000,0.130000,93.209999,3.470000,-5.170000,264.119995,63.650002,53554.050781,35.7,82.66,11.871429,PM2.5,22783
8.980000,9.010000,0.090000,0.160000,0.130000,93.400002,2.600000,-4.400000,264.549988,61.790001,53842.089844,35.73,82.83,12.828570,PM2.5,22784
8.870000,8.900000,0.080000,0.150000,0.120000,94.500000,2.260000,-4.080000,264.820007,59.529999,54033.898438,35.76,82.99,12.671429,PM2.5,22785
9.220000,9.250000,0.080000,0.150000,0.120000,94.139999,2.420000,-4.040000,264.980011,56.549999,54147.871094,35.79,83.16,13.171429,PM2.5,22786
